timestep,reward
322076,6.539
322444,7.376
322811,4.46
323159,10.671
323552,7.165
323914,3.154
324301,6.24
324653,2.474
324981,2.987
325325,7.185
325715,5.833
326032,6.93
326424,5.509
326756,7.908
327118,6.762
327489,5.655
327854,4.845
328204,5.608
328512,4.374
328876,4.657
329231,6.085
329597,5.087
329950,6.255
330298,7.811
330680,6.987
331056,5.801
331403,8.215
331733,3.702
332084,4.573
332426,4.031
332824,3.409
333167,7.213
333539,7.656
333899,3.575
334272,8.964
334608,4.49
334945,6.23
335297,7.151
335631,6.834
336030,8.021
336402,5.174
336718,6.9
337029,5.957
337359,3.557
337696,5.207
338028,7.098
338352,3.719
338689,7.474
339002,7.263
339322,6.063
339637,6.383
339959,3.345
340292,4.914
340626,8.447
340955,5.762
341292,5.282
341623,5.288
341955,4.742
342331,6.017
342681,7.408
343032,7.658
343397,4.182
343724,3.142
344111,3.758
344430,2.541
344751,6.347
345107,7.532
345434,5.349
345809,3.761
346100,3.945
346454,3.411
346778,7.284
347093,8.635
347441,4.763
347753,8.083
348119,3.78
348410,3.51
348703,5.816
349004,2.823
349285,4.588
349604,6.734
349923,1.343
350261,4.791
350605,4.891
350939,3.129
351249,5.336
351578,7.134
351892,4.5
352214,4.153
352569,5.202
352933,4.995
353287,4.351
353657,2.615
354001,6.441
354355,2.882
354691,5.786
355068,6.945
355404,4.104
355747,6.697
356087,7.289
356481,5.787
356827,5.847
357136,4.098
357511,3.691
357830,2.014
358143,4.934
358476,6.816
358821,5.43
359173,4.359
359539,9.35
359904,6.082
360239,5.805
360582,4.692
360932,8.412
361292,3.76
361626,4.421
361969,6.351
362319,3.158
362663,2.748
362998,5.302
363338,2.713
363670,4.541
364024,1.958
364362,5.431
364703,5.438
365029,8.145
365352,4.769
365695,2.917
366049,3.125
366400,7.697
366765,2.087
367170,3.23
367506,6.683
367836,3.373
368185,6.771
368529,5.615
368933,4.098
369289,3.273
369659,3.752
369983,6.122
370323,6.228
370644,6.388
370955,7.428
371274,3.183
371619,3.41
371952,6.055
372249,3.215
372591,6.14
372913,3.632
373260,2.814
373575,6.396
