timestep,reward
224010,-2.865
224294,-3.092
224602,-3.531
224926,-2.765
225282,-2.878
225628,-2.686
225972,-3.256
226279,-3.217
226589,-3.279
226943,-3.113
227236,-3.464
227590,-2.98
227934,-2.723
228261,-2.781
228591,-3.546
228934,-2.537
229231,-3.55
229585,-3.128
229905,-3.457
230255,-2.967
230585,-3.456
230952,-3.529
231264,-3.856
231616,-2.798
231956,-2.923
232306,-3.328
232623,-2.73
232996,-3.439
233322,-2.456
233664,-2.768
233998,-2.116
234363,-1.804
234720,-1.848
235054,-2.026
235364,-1.785
235691,-1.904
235972,-1.324
236318,-1.898
236673,-1.653
237041,-1.373
237385,-1.836
237773,-0.999
238116,-0.883
238475,-0.655
238822,-1.331
239157,-1.382
239532,-2.17
239866,-1.561
240220,-1.595
240571,-2.101
240972,-1.779
241356,-1.561
241744,-1.372
242115,-1.872
242431,-2.032
242778,-3.271
243168,-1.683
243486,-2.576
243859,-1.381
244173,-2.457
244552,-1.812
244910,-1.716
245269,-1.879
245611,-1.935
245987,-1.28
246382,-0.935
246715,-2.827
247102,-1.781
247467,-2.842
247805,-2.291
248195,-0.808
248568,-2.756
248925,-2.203
249274,-1.314
249627,-1.732
250064,-2.846
250399,-2.964
250777,-1.419
251141,-1.345
251539,-2.503
251909,-2.555
252272,-1.569
252632,-2.439
253015,-1.663
253376,-2.076
253749,-1.482
254115,-2.868
254505,-2.737
254863,-1.258
255226,-2.156
255644,-0.73
255964,-1.212
256297,-2.121
256668,-2.659
257054,-1.332
257373,-1.858
257781,-2.266
258142,-1.777
258515,-2.307
258860,-1.417
259196,-2.707
259573,-0.41
259928,-0.485
260296,-1.623
260660,-1.048
261035,-2.485
261422,-1.941
261794,-1.664
262139,-2.034
262561,-0.657
262934,-1.016
263289,-1.79
263683,-0.818
264067,-0.843
264412,-0.673
264791,-0.737
265148,-1.527
265555,-1.33
265947,-1.839
266340,-0.794
266700,-1.59
267083,-1.282
267486,-0.853
267836,-1.479
268173,-1.615
268586,-0.668
268971,-0.762
269382,-1.936
269739,-0.919
270115,-2.397
270492,-1.394
270860,-1.746
271223,-1.126
271591,-0.771
271971,-0.94
272372,-0.766
272728,-1.428
273131,-1.396
273507,-0.848
273821,-1.291
274176,-1.567
274559,-0.764
274917,-1.733
275302,-1.4
275649,-1.27
276030,-0.838
276422,-0.916
276762,-0.563
277137,-1.049
277453,-0.253
277797,-1.388
278186,-0.903
278566,-0.45
278967,-1.315
279339,-0.901
279720,-0.783
280085,0.314
280473,-1.145
280858,-0.306
281203,-1.433
281559,-1.654
281919,-0.801
282299,-1.653
282685,-1.204
283029,0.019
283470,-1.386
283860,-1.413
284253,-0.539
284633,-0.432
284984,-1.05
285360,-0.953
285749,-0.656
286107,-1.054
286505,-0.62
286870,-0.293
287253,-0.627
287637,-1.384
287980,-0.95
288333,-1.005
288721,-0.761
289096,-1.744
289505,-1.889
289922,-1.254
290339,-0.888
290740,-0.655
291122,-0.418
291512,-1.239
291896,-1.188
292312,-1.404
292689,-0.982
293091,-0.922
293437,-1.657
293800,-0.811
